id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
1629169,Mon Aug 09 2021 04:51:23 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:39 GMT-0600 (Mountain Daylight Time),1629169,Brian Adams,Assistant Coach,2,1610612755,nba/coaches/1629169
201220,Mon Aug 09 2021 04:52:12 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:40 GMT-0600 (Mountain Daylight Time),201220,David Joerger,Assistant Coach,2,1610612755,nba/coaches/201220
1629427,Mon Aug 09 2021 04:51:25 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:02 GMT-0600 (Mountain Daylight Time),1629427,Brian Randle,Assistant Coach,2,1610612756,nba/coaches/1629427
1629410,Mon Aug 09 2021 04:51:27 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:06 GMT-0600 (Mountain Daylight Time),1629410,David Crewe,Trainer,3,1610612756,nba/coaches/1629410
1497,Mon Aug 09 2021 04:52:16 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:26 GMT-0600 (Mountain Daylight Time),1497,Chauncey Billups,Head Coach,1,1610612757,nba/coaches/1497
1627471,Mon Aug 09 2021 04:51:33 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:27 GMT-0600 (Mountain Daylight Time),1627471,Jim Moran,Assistant Coach,2,1610612757,nba/coaches/1627471
1628240,Mon Aug 09 2021 04:51:31 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:29 GMT-0600 (Mountain Daylight Time),1628240,John McCullough,Assistant Coach,2,1610612757,nba/coaches/1628240
2623,Mon Aug 09 2021 04:51:47 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:31 GMT-0600 (Mountain Daylight Time),2623,Scott Brooks,Assistant Coach,2,1610612757,nba/coaches/2623
101272,Mon Aug 09 2021 04:51:35 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:32 GMT-0600 (Mountain Daylight Time),101272,Geoff Clark,Trainer,3,1610612757,nba/coaches/101272
204012,Mon Aug 09 2021 04:51:36 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:58 GMT-0600 (Mountain Daylight Time),204012,Luke Walton,Head Coach,1,1610612758,nba/coaches/204012
278,Mon Aug 09 2021 04:51:40 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:00 GMT-0600 (Mountain Daylight Time),278,Stacey Augmon,Assistant Coach,2,1610612758,nba/coaches/278
202985,Mon Aug 09 2021 04:52:13 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:03 GMT-0600 (Mountain Daylight Time),202985,Bobby Jackson,Assistant Coach,2,1610612758,nba/coaches/202985
1629711,Mon Aug 09 2021 04:51:51 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:06 GMT-0600 (Mountain Daylight Time),1629711,Roy Rana,Assistant Coach,2,1610612758,nba/coaches/1629711
1672,Mon Aug 09 2021 04:51:38 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:07 GMT-0600 (Mountain Daylight Time),1672,Rex Kalamian,Assistant Coach,2,1610612758,nba/coaches/1672
1628188,Mon Aug 09 2021 04:51:42 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:30 GMT-0600 (Mountain Daylight Time),1628188,Mitch Johnson,Assistant Coach,2,1610612759,nba/coaches/1628188
204019,Mon Aug 09 2021 04:51:44 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:31 GMT-0600 (Mountain Daylight Time),204019,Becky Hammon,Assistant Coach,2,1610612759,nba/coaches/204019
201878,Mon Aug 09 2021 04:51:26 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:54 GMT-0600 (Mountain Daylight Time),201878,Adrian Griffin,Assistant Coach,2,1610612761,nba/coaches/201878
